created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 09 17:41:26 +0000 2023;1722670745556590800;"Pakar komunikasi politik Universitas Pelita Harapan (UPH), Emrus Sihombing memandang Ganjar Pranowo sebagai bakal calon presiden (bacapres) yang paling berpihak pada isu kemerdekaan Palestina. Dalam hal ini, Ganjar dianggap unggul dari Prabowo Subianto dan Anies Baswedan. https://t.co/JHrhlgZ7J7";0;0;0;0;in;1546700488066093057;1722670745556590800;sobat_ganjar;https://twitter.com/sobat_ganjar/status/1722670745556590800
Thu Nov 09 11:43:58 +0000 2023;1722580789496545713;"Bacapres Koalisi Perubahan Anies Baswedan menghadiri Rakernas Lembaga Dakwah Islam Indonesia (LDII) di Ponpes Minhajul Rasyid di Lubang Buaya, Jakarta Timur. Dalam pidatonya Anies menyinggung tentang masih adanya ketimpangan kualitas manusia di Indonesia.  Download #MetroTVXtend… https://t.co/SCufdqyyUI";1;5;73;342;in;57261519;1722580789496545713;Metro_TV;https://twitter.com/Metro_TV/status/1722580789496545713
Thu Nov 09 11:23:33 +0000 2023;1722575648504606795;"Bacapres Anies Baswedan menyatakan kemewahan Indonesia yakni memiliki bahasa persatuan, sebelum menjadi sebuah NKRI.  https://t.co/mpBot2Kidt";0;0;3;2;in;18071520;1722575648504606795;antaranews;https://twitter.com/antaranews/status/1722575648504606795
Thu Nov 09 10:53:08 +0000 2023;1722567996248670529;"@allkacruuut @BangPino__ Goblog, semuanya sudah tuntas selesai dikerjakan oleh gubernur DKI Jakarta Anies Baswedan, eluh aja yang ketinggalan berita. Black propaganda aja eluh percaya. Tuh buktinya partai Nasdem yang mengkritik Anies Baswedan, koq malah mencapreskan Anies Baswedan jadi bacapres Nasdem";0;0;0;0;in;1669742231228682241;1722516416321184047;FurqanIbr64677;https://twitter.com/FurqanIbr64677/status/1722567996248670529
Thu Nov 09 09:29:26 +0000 2023;1722546932483313862;"Bakal calon presiden (bacapres) Koalisi Perubahan Anies Baswedan meminta anak-anak Palestina diungsikan ke Indonesia sebagai investasi generasi jangka panjang.  #threadtvone https://t.co/SaYnaMYlhn";4;55;9;91;in;55507370;1722546932483313862;tvOneNews;https://twitter.com/tvOneNews/status/1722546932483313862
Thu Nov 09 09:02:19 +0000 2023;1722540106077421667;"Tiga bacapres yakni Anies Baswedan, Prabowo Subianto, dan Ganjar Pranowo dinilai belum memberikan gagasan ekonomi yang konkret. https://t.co/wloOWeytc3";0;0;0;0;in;238091066;1722540106077421667;InvestorID;https://twitter.com/InvestorID/status/1722540106077421667
Thu Nov 09 07:30:00 +0000 2023;1722516874012033056;"Bacapres Anies Baswedan bercerita soal dirinya diusung Partai NasDem di Pilpres 2024 karena menginginkan perubahan. Padahal menurutnya, Partai NasDem pada Pilkada DKI 2017 mendukung Basuki Tjahaja Purnama (Ahok) dan rajin mengkritik dirinya. https://t.co/AsMD33RjoJ";0;1;0;13;in;69183155;1722516874012033056;detikcom;https://twitter.com/detikcom/status/1722516874012033056
Thu Nov 09 05:15:37 +0000 2023;1722483054810398906;"Bacapres koalisi perubahan Anies Baswedan mengaku partai Nasdem selalu mencecarnya habis-habisan saat pilgub DKI 2027, namun saat ini merupakan partai pertama yang mendukungnya maju dalam pilpres 2024. Hal itu dikatakan Anies dalam Rapat Kerja Nasional (Rakernas) Lembaga Dakwah… https://t.co/ezlhKTsLkg";0;0;0;2;in;121640063;1722483054810398906;RadioElshinta;https://twitter.com/RadioElshinta/status/1722483054810398906
Thu Nov 09 05:11:39 +0000 2023;1722482057014874370;"Bacapres Koalisi Perubahan Anies Baswedan menyoroti tingginya pertumbuhan ekonomi di Malut yang tidak sejalan dengan serapan tenaga kerja  https://t.co/p7IStqHNiY";0;0;0;0;in;1624396689980395523;1722482057014874370;klikhalmahera;https://twitter.com/klikhalmahera/status/1722482057014874370
Thu Nov 09 05:11:35 +0000 2023;1722482042225733906;"Bacapres Koalisi Perubahan, Anies Baswedan menilai saat ini masalah ketimpangan sosial di Indonesia masih menjadi isu yang terus berkembang. Menurutny... https://t.co/KCDga4w3j5";0;0;0;0;in;46693036;1722482042225733906;inilahdotcom;https://twitter.com/inilahdotcom/status/1722482042225733906
Thu Nov 09 05:03:50 +0000 2023;1722480089097802060;"Visi Ekonomi Anies Baswedan, Singgung Soal Ketimpangan Ekonomi Juga Pengangguran  Bacapres Adu Gagasan Di Sarasehan 100 Ekonom Indonesia    https://t.co/SHerOYpfAX";0;0;0;0;in;1573192848530231296;1722480089097802060;Kebenaran_70;https://twitter.com/Kebenaran_70/status/1722480089097802060
Thu Nov 09 04:47:10 +0000 2023;1722475896182022578;"Bacapres Koalisi Perubahan, Anies Baswedan mendoakan proses pemilihan Ketua Mahkamah Konstitusi (MK) berjalan dengan baik dan adil, agar bisa menghadi... https://t.co/JqcDsWzCkE";0;0;1;1;in;46693036;1722475896182022578;inilahdotcom;https://twitter.com/inilahdotcom/status/1722475896182022578
Thu Nov 09 04:37:33 +0000 2023;1722473475590508555;"Bacapres Koalisi Perubahan, Anies Baswedan mengatakan perubahan adalah sebuah keniscayaan yang bisa membawa kebaikan, maka jangan pernah merasa anti a... https://t.co/YLu7gUcLbq";0;0;0;0;in;46693036;1722473475590508555;inilahdotcom;https://twitter.com/inilahdotcom/status/1722473475590508555
Thu Nov 09 04:01:14 +0000 2023;1722464336676090262;"Bacapres Anies Baswedan mengomentari proses pemilihan Ketua MK usai Anwar Usman dicopot dari jabatan tersebut. #newsupdate #update #news #text https://t.co/rljGMl9ORw";0;0;0;2;in;759692754985242625;1722464336676090262;kumparan;https://twitter.com/kumparan/status/1722464336676090262
Thu Nov 09 03:25:35 +0000 2023;1722455364359106561;"Bacapres Koalisi Perubahan Anies Baswedan menyinggung soal banyaknya mahasiswa Indonesia yang kuliah di luar negeri namun enggan untuk kembali. #pemilupedia #newsupdate #update #news #quote https://t.co/AVkG5tSMiN https://t.co/P9Qvtp1RHS";23;32;25;160;in;759692754985242625;1722455364359106561;kumparan;https://twitter.com/kumparan/status/1722455364359106561
Thu Nov 09 02:18:52 +0000 2023;1722438575944605876;"Bakal calon presiden (bacapres) Anies Baswedan menjelaskan soal visi "perubahan" terkait kepemimpinan nasional di masa depan. https://t.co/NgXYAtkx2K";0;0;0;0;in;903229236051247104;1722438575944605876;eradotid;https://twitter.com/eradotid/status/1722438575944605876
Wed Nov 08 19:01:35 +0000 2023;1722328528207876155;"Bacapres Koalisi Perubahan, Anies Baswedan berkomitmen untuk menciptakan kemajuan ekonomi Indonesia bila ia terpilih menjadi Presiden RI. Menurutnya, ... https://t.co/bbyMwYLiAW";0;0;1;0;in;46693036;1722328528207876155;inilahdotcom;https://twitter.com/inilahdotcom/status/1722328528207876155
Wed Nov 08 13:53:45 +0000 2023;1722251060184780993;"Bacapres Koalisi Perubahan, Anies Baswedan mengaku bakal melanjutkan program Presiden Jokowi yang dinilai baik, termasuk program Kartu Prakerja. &lt  #Anies #ProgramKartuPrakerja #Jokowi #Pemilu2024KCM #JernihMemilih   https://t.co/4TwaBN4sTw";0;2;0;2;in;23343960;1722251060184780993;kompascom;https://twitter.com/kompascom/status/1722251060184780993
Wed Nov 08 13:02:32 +0000 2023;1722238173261213765;"Bakal capres dari Koalisi Perubahan Anies Baswedan menegaskan akan melanjutkan program hilirisasi yang telah dilakukan pemerintah saat ini. #monitorday #aniesbaswedan #bacapres #hilirisasi https://t.co/VIyBhhKU6t";0;0;0;1;in;70600007;1722238173261213765;monitordaycom;https://twitter.com/monitordaycom/status/1722238173261213765
Wed Nov 08 12:32:14 +0000 2023;1722230547668447593;"Bacapres Koalisi Perubahan Anies Baswedan ingin kembali memperkuat peran koperasi untuk masyarakat. Menurut dia, koperasi bisa menjadi salah satu solusi memberantas pinjaman online yang kini menjamur. &lt  #Anies #PinjamanOnline #Pemilu2024KCM   https://t.co/CRQF5audEh";2;4;16;75;in;23343960;1722230547668447593;kompascom;https://twitter.com/kompascom/status/1722230547668447593
Wed Nov 08 12:10:50 +0000 2023;1722225161003561240;"Bacapres Anies Baswedan dan Prabowo Subianto telah menyuarakan dukungannya kepada Palestina melalui kanal media sosial. Sementara itu, bacapres Ganjar Pranowo terlihat belum mengomentari isu ini melalui media sosialnya. https://t.co/s9lx57yRsG";0;1;0;2;in;3658229898;1722225161003561240;JARING_;https://twitter.com/JARING_/status/1722225161003561240
