created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jun 29 22:43:36 +0000 2023;1674549204495265794;"Disela2 melaksanakan ibadah haji, Bacapres Ganjar Pranowo menghadiri silaturahmi virtual dg  relawan Ganjar serta Diaspora Indonesia di jerman dan Eropa pendukung Ganjar. Ini menandakan derasnya dukungan yg mengalir utk Ganjar Prabowo.   FIFA Tidur Olivia Bojo Cipung Banda Neira https://t.co/WIMPvZRGjk";1;1;10;11;in;2580861451;1674549204495265794;bamantara00;https://twitter.com/bamantara00/status/1674549204495265794
Thu Jun 29 18:47:26 +0000 2023;1674489769861189632;"@yusuf_dumdum @jiwe3107 Tak dapat di pungkiri, satu satunya bacapres harus g punya tiket utk maju ke kontestasi pilpres, saat ini hanya Mas Ganjar Pranowo. Soal Survey sementara ini no 2 tak menjadi masalah, pendukungnya tidak baperan.";0;0;0;0;in;1489795291364888580;1673140486243233792;pieteriskandar0;https://twitter.com/pieteriskandar0/status/1674489769861189632
Thu Jun 29 16:50:01 +0000 2023;1674460220012249089;"Bakal calon presiden (bacapres) dari PDI Perjuangan, Ganjar Pranowo melakukan blusukan ke daerah Pasar Minggu, di jalan Taman Margasatwa No. 32 Kelurahan, Jati Padang RT 05, Pasar Minggu, Jakarta Selatan.  Ganjar tiba pukul 11.06 WIB. Dia didampingi oleh Menteri Hukum dan HAM, https://t.co/mKCMNZC5dw";0;1;0;0;in;1479757801299738627;1674460220012249089;4_gp2024;https://twitter.com/4_gp2024/status/1674460220012249089
Thu Jun 29 11:53:15 +0000 2023;1674385536365268992;"Bakal calon Presiden (Bacapres) Ganjar Pranowo menjalani blusukan di Pasar Anyar Bahari, Warakas, Tanjung Priok, Jakarta Utara pada Sabtu (24/3/2023). Ganjar tiba di Pasar Anyar Bahari pada pukul 07.40 WIB dengan menggunakan kemeja putih. https://t.co/Ksqwe7R2Y6";0;1;0;0;in;1479757801299738627;1674385536365268992;4_gp2024;https://twitter.com/4_gp2024/status/1674385536365268992
Thu Jun 29 07:55:24 +0000 2023;1674325680354631680;"@S4N_W1B1 @ganjarpranowo seragam somplaknya pendukung dg ma yg didukung...  ngeri banget jk orang² senaif, muna seperti ini jadi bacapres";0;0;1;1;in;344536106;1673965649453019136;Ceha_Anwar;https://twitter.com/Ceha_Anwar/status/1674325680354631680
Thu Jun 29 07:03:08 +0000 2023;1674312525960323073;"Rajin Banget ke kmpus? Iya lah rajin biar bisa nyate gratis... Bukan soal dging bisa beli, tpi soal prnah war daging k pas idul adha di @UINSK  Ini bacapres pak @ganjarpranowo @aniesbaswedan @prabowo gak mau kurban di sini kah? Kasian yg gak kebagian #uinsk #daging #IDULADHA2023 https://t.co/BY6cZ43Dww";0;2;0;0;in;1268517364946972672;1674312525960323073;wahfudin11;https://twitter.com/wahfudin11/status/1674312525960323073
Thu Jun 29 06:48:43 +0000 2023;1674308897635696640;"Dari tiga bacapres yang ada, cuma pak Ganjar Pranowo yang berani dan tegas menyatakan penolakannya kepada kelompok-kelompok intoleran dan radikal.   Yuk kita jaga NKRI dengan srius... Sunguh-sunguh serius... https://t.co/I8wUiY7VRz";0;0;0;0;in;2543953344;1674308897635696640;DavinaSastro;https://twitter.com/DavinaSastro/status/1674308897635696640
Thu Jun 29 06:25:51 +0000 2023;1674303145877585920;"Hasto Kristiyanto, mengirimkan sinyal kalau PDIP tertarik untuk memasangkan bacapres Ganjar Pranowo dengan Gubernur Jawa Barat, Ridwan Kamil. #EnamPlus https://t.co/nYbTrqNtfI";0;3;3;2;in;47596019;1674303145877585920;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1674303145877585920
Thu Jun 29 06:03:29 +0000 2023;1674297517331349505;"Bacapres dari PDIP Ganjar Pranowo mengucapkan Selamat hari raya Iduladha 1444 Hijriah bagi seluruh umat muslim.  Mamat Geter Idul Adha Daging 2023 M Cat 1 T.O.P Arsenal https://t.co/OcDM0dOPrj";0;0;1;1;in;1534196648477220866;1674297517331349505;FajarHeriansya2;https://twitter.com/FajarHeriansya2/status/1674297517331349505
Thu Jun 29 04:10:17 +0000 2023;1674269028813242368;"Bacapres dari PDIP Ganjar Pranowo mengucapkan Selamat hari raya Iduladha 1444 Hijriah bagi seluruh umat muslim.  Muzdalifah Mamat Geter Hanum T.O.P 2023 M Raditya Dika Idul Adha https://t.co/xJp8QVKOQK";0;0;1;2;in;1554701029949997056;1674269028813242368;Gabriel88675620;https://twitter.com/Gabriel88675620/status/1674269028813242368
