created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:15:22 +0000 2023;1718768516214489404;"Belakangan beredar isu yang menyebut Capres Prabowo Subianto pernah mengidap stroke sebanyak 2 kali. Begini fakta-faktanya. https://t.co/tImRFpeH4Q";0;0;0;1;in;104446991;1718768516214489404;detikHealth;https://twitter.com/detikHealth/status/1718768516214489404
Sun Oct 29 22:23:10 +0000 2023;1718755381735043182;"Praktisi nilai Prabowo Subianto capres paling sabar dan humoris - ANTARA https://t.co/ISe8UVomc8 #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;10;0;in;4534177320;1718755381735043182;SahrulAmzi;https://twitter.com/SahrulAmzi/status/1718755381735043182
Sun Oct 29 22:23:05 +0000 2023;1718755360763437307;"Praktisi nilai Prabowo Subianto capres paling sabar dan humoris - ANTARA https://t.co/IUZI2hFQPh #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;10;0;in;814012104768307201;1718755360763437307;RondangKomariah;https://twitter.com/RondangKomariah/status/1718755360763437307
Sun Oct 29 21:47:47 +0000 2023;1718746474778099998;"AHY pimpin Deklarasi Capres koalisi Indonesia Maju Prabowo Subianto. nhn  AgusYudhoyono PDemokrat Demokrat Pilihan Kita https://t.co/em1QAuxlst";0;0;0;0;in;326270868;1718746474778099998;Sjoekuuuh;https://twitter.com/Sjoekuuuh/status/1718746474778099998
Sun Oct 29 21:47:38 +0000 2023;1718746440560947661;"AHY Deklarasikan Prabowo Subianto Sebagai Capres Hari Ini, semangat perubahan tetap diperjuangkan. \wp  PDemokrat AgusYudhoyono Demokrat Pilihan Kita https://t.co/JhrpYp0pGM";0;0;0;0;in;326270868;1718746440560947661;Sjoekuuuh;https://twitter.com/Sjoekuuuh/status/1718746440560947661
Sun Oct 29 19:40:19 +0000 2023;1718714400776065026;"AHY pimpin Deklarasi Capres koalisi Indonesia Maju Prabowo Subianto. nhn  AgusYudhoyono PDemokrat Demokrat Pilihan Kita https://t.co/Y6agwhxaCU";0;0;0;0;in;323917700;1718714400776065026;EnsnstFaisal;https://twitter.com/EnsnstFaisal/status/1718714400776065026
Sun Oct 29 19:40:13 +0000 2023;1718714373005611364;"AHY Deklarasikan Prabowo Subianto Sebagai Capres Hari Ini, semangat perubahan tetap diperjuangkan. \wp  PDemokrat AgusYudhoyono Demokrat Pilihan Kita https://t.co/eKkfAo4kac";0;0;0;0;in;323917700;1718714373005611364;EnsnstFaisal;https://twitter.com/EnsnstFaisal/status/1718714373005611364
Sun Oct 29 16:54:46 +0000 2023;1718672737680625765;". . Jangan Lupa ya Gaeess .. Dibalik semua Pengkhianatan, Cawe-Cawe MK, Ditabraknya Konstitusi ...  Ada @prabowo yang ikut menikmati semua ini  Politik Dinasti dari Keluarga itu, dilakukan untuk memenangkan Capres Mereka .. Prabowo Subianto  TJAMKAN ITU WAHAY RAKYAT KONOHA . . https://t.co/tndm8LqH1z";11;44;174;532;in;1529491450605768704;1718672737680625765;StefanAntonio__;https://twitter.com/StefanAntonio__/status/1718672737680625765
Sun Oct 29 16:06:19 +0000 2023;1718660543786197050;"Daftar Kekayaan 3 Pasangan Capres dan Cawapres, Prabowo Subianto Paling Banyak https://t.co/bFr6qoOMWs lewat @tribunnews";0;0;0;0;in;151700683;1718660543786197050;Tribun_Manado;https://twitter.com/Tribun_Manado/status/1718660543786197050
Sun Oct 29 14:26:38 +0000 2023;1718635456227835930;"Jari Raya deklarasikan dukung Prabowo Subianto jadi capres 2024 - ANTARA https://t.co/ltrZ2pRP0i #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;10;0;in;795445014864203777;1718635456227835930;AzhareAkiba;https://twitter.com/AzhareAkiba/status/1718635456227835930
